CustomerID,Age,Average_Spend,Visits_per_Month,Promotion_Interest,Cluster,Cluster Group
1,28,16.92945581628188,4.92508415646715,5,1,Promotion
2,29,23.525648151502843,2.335714403226917,2,2,Weekend
3,61,41.419128618645196,4.139556114608531,3,0,Daily
4,48,37.37509276676896,3.088712997145646,10,0,Daily
5,47,13.223070982558694,2.675997513353769,9,1,Promotion
6,31,25.529497411318467,5.616763355020786,5,2,Weekend
7,35,48.49639190843368,3.6379701901170387,1,2,Weekend
8,56,16.442797537310067,3.9993800103903325,10,1,Promotion
9,50,41.95181127516764,3.389275833624289,6,0,Daily
10,44,26.341332742082503,1.2249562345099831,7,1,Promotion
11,46,48.55685538028095,6.342601342898402,5,0,Daily
12,58,46.19812771291349,3.865926602263189,9,0,Daily
13,64,49.74778475470268,1.6340574443724682,4,0,Daily
14,58,12.209474404203092,3.2877575894947544,2,1,Promotion
15,23,34.11379947910301,5.63513603674911,4,2,Weekend
16,26,31.594605580258488,3.918307972186665,1,2,Weekend
17,34,17.281090114093814,3.6606328036686477,1,1,Promotion
18,42,35.66635324635362,6.209605242826898,9,0,Daily
19,63,40.835886251817456,3.3678013230575825,4,0,Daily
20,36,40.74702433367689,3.0074188047313184,10,2,Weekend
21,63,26.65865163494317,4.3416779397389895,1,0,Daily
22,52,32.536123267886396,6.738049329629507,9,0,Daily
23,45,18.723831436799223,4.279661024035667,6,1,Promotion
24,41,26.07575406972151,2.1888456031915036,2,1,Promotion
25,47,22.131447366204725,5.373444651457131,3,1,Promotion
26,19,24.191992181185476,6.714190405728527,4,2,Weekend
27,40,6.266934277485396,1.5594506660252836,9,1,Promotion
28,33,29.73718421023257,5.590750235005563,10,2,Weekend
29,20,31.011518344015794,4.589296761981862,9,2,Weekend
30,58,10.240511924367842,4.174556269917055,9,1,Promotion
31,64,25.06429883372022,5.9743894499884,7,0,Daily
32,22,12.651222050726624,5.3769791313200175,7,1,Promotion
33,44,25.95320354566021,3.187639754222234,7,1,Promotion
34,63,44.24982340342627,5.705837029424447,7,0,Daily
35,34,28.799759592367913,3.466461707237777,4,2,Weekend
36,63,46.864778899189034,5.998722070574364,10,0,Daily
37,44,30.282498483278886,1.5109169101793671,1,0,Daily
38,63,35.56597694080101,6.488674717886697,2,0,Daily
39,38,41.65334130225819,2.8200157079539356,10,2,Weekend
40,37,47.43104591719048,5.210948283665674,3,2,Weekend
41,51,8.27806106134797,3.679214481835854,3,1,Promotion
42,60,14.430878866432357,4.046126499669914,1,1,Promotion
43,46,7.733766498714024,4.782920434850983,9,1,Promotion
44,23,36.39301238003877,3.16192115102063,5,2,Weekend
45,47,47.5067124248311,5.838018127259266,4,0,Daily
46,25,26.272195618741932,5.5669527171201825,8,2,Weekend
47,22,39.25379557209356,6.867105886414901,1,2,Weekend
48,42,38.210658373930855,3.4746936045224777,6,0,Daily
49,58,24.17302198178555,2.0542046919372448,3,0,Daily
50,56,6.628701084864122,2.6484418275792327,4,1,Promotion
51,35,36.44416883773811,6.116720788897746,4,2,Weekend
52,63,24.824520439298958,4.916179768373076,1,0,Daily
53,63,37.24988640749849,4.767449110361948,2,0,Daily
54,60,39.18995096424308,5.032154958254909,1,0,Daily
55,22,9.385659628919965,1.134658197199857,2,1,Promotion
56,41,31.662008783892468,4.829092769171615,8,2,Weekend
57,64,9.920728126329369,2.9699669071660324,1,1,Promotion
58,44,31.633242118489026,2.0515636435466336,6,0,Daily
